unload utensils from dishwasher,unload,utensils,none,1,
pack lunch,pack,lunch,none,1,
fix after-school snacks,fix,snacks,none,1,
fix a sandwich,fix,sandwich,none,1,
fix a cold cereal,fix,cereal,none,1,
fix a toast,fix,toast,none,1,
wash dishes at sink,wash,dishes,none,1,
clean tabletops with nontoxic cleanser,clean,tabletops,none,1,
clean countertops with nontoxic cleanser,clean,countertops,none,1,
use stovetop with supervision,use,stovetop,none,1,
use oven with supervision,use,oven,none,1,
carry in groceries,carry,groceries,none,1,
make grocery list,make,grocery list,none,1,
organize pantry,organize,pantry,none,1,
organize kitchen cabinets,organize,kitchen cabinets,none,1,
load dishwasher,load,dishwasher,none,1,
unload dishwasher,unload,dishwasher,none,1,
take recycling to the curb,take,recycling,none,1,
take trash to the curb,take,trash,none,1,
plan family meals for the week,plan,family meals,none,1,
put away groceries,put,groceries,none,1,
sort recycling,sort,recycling,none,1,
clip coupons,clip,coupons,none,1,
clean wastebaskets with soap and water weekly,clean,wastebaskets,soap and water,1,
clean garbage cans with soap and water weekly,clean,garbage cans,soap and water,1,
peel vegetables,peel,vegetables,none,1,
cut fruit,cut,fruit,none,1,
prepare dinner twice a week,prepare,dinner,none,1,
clean out fridge,clean,fridge,none,1,
deep clean household appliances,clean,household appliances,none,1,
clean up dishes after every meal,clean,dishes,none,1,
clean up pots after every meal,clean,pots,none,1,
clean up pans after every meal,clean,pans,none,1,
run dishwasher as needed,run,dishwasher,none,1,
empty dishwasher when clean,empty,dishwasher,none,1,
wipe down kitchen counters,wipe,kitchen counters,none,1,
wipe down table,wipe,table,none,1,
wipe down stove top,wipe,stove top,none,1,
empty trash can,empty,trash can,none,1,
sweep kitchen floor,sweep,kitchen floor,none,1,
change out your kitchen towels,change,kitchen towers,none,1,
wipe up spills as they occur,wipe,spills,none,1,
clean out the refridgerator of older food,clean,fridge,none,1,
clean out the freezer of older food,clean,freezer,none,1,
mop the kitchen floor,mop,kitchen floor,none,1,
flush kitchen drain with boiling water,flush,kitchen drain,boiling water,1,
disinfect kitchen counters,disinfect,kitchen counters,none,1,
disinfect work surfaces,disinfect,work surfaces,none,1,
take out recycling,take,recycling,none,1,
clean coffeemaker,clean,coffeemaker,none,1,
clean dishwasher,clean,dishwasher,none,1,
clean oven,clean,oven,none,1,
clean kitchen sink with vinegar, baking soda, and boiling water,clean,kitchen sink,vinegar, baking soda, boiling water,1,
clean inside refridegrator,clean,fridge,none,1,
wipe outside of kitchen appliances,wipe,kitchen appliances,none,1,
update pantry inventory,update,pantry inventory,none,1,
update freezer inventory,update,freezer inventory,none,1,
wash kitchen rugs,wash,kitchen rugs,none,1,
clean microwave,clean,microwave,none,1,
straighten cabinets and drawers,straighten,cabinets,none,1,
dust light fixtures,dist,light fixtures,none,1,
clean garbage can,clean,garbage can,none,1,
